"","JLPCB","Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Part Name","Part Number","Supplier 1","Supplier 2","Supplier 3","Supplier Part Number 1","Supplier Part Number 2","Supplier Part Number 3"
"https://item.taobao.com/item.htm?spm=a230r.1.14.7.39893167ZRvFEo&id=675825242596&ns=1&abbucket=0#detail","","MP105","WE_9774140360R","BottomLayer","WE_9774140360","5.0000mm","15.0000mm","180","WA-SMSI SMT Steel Spacer with internal thread M 3","WE_9774140360R","WE_9774140360R","Digikey","Mouser","","732-5281-1-ND","710-9774140360R",""
"https://item.taobao.com/item.htm?spm=a230r.1.14.7.39893167ZRvFEo&id=675825242596&ns=1&abbucket=0#detail","","MP104","WE_9774140360R","BottomLayer","WE_9774140360","5.0000mm","115.0000mm","180","WA-SMSI SMT Steel Spacer with internal thread M 3","WE_9774140360R","WE_9774140360R","Digikey","Mouser","","732-5281-1-ND","710-9774140360R",""
"https://item.taobao.com/item.htm?spm=a230r.1.14.7.39893167ZRvFEo&id=675825242596&ns=1&abbucket=0#detail","","MP103","WE_9774140360R","BottomLayer","WE_9774140360","65.0000mm","115.0000mm","180","WA-SMSI SMT Steel Spacer with internal thread M 3","WE_9774140360R","WE_9774140360R","Digikey","Mouser","","732-5281-1-ND","710-9774140360R",""
"https://item.taobao.com/item.htm?spm=a230r.1.14.7.39893167ZRvFEo&id=675825242596&ns=1&abbucket=0#detail","","MP102","WE_9774140360R","BottomLayer","WE_9774140360","65.0000mm","5.0000mm","180","WA-SMSI SMT Steel Spacer with internal thread M 3","WE_9774140360R","WE_9774140360R","Digikey","Mouser","","732-5281-1-ND","710-9774140360R",""
"https://www.digikey.co.th/en/products/detail/pulse-electronics-network/HM2102NLT/8021473?s=N4IgTCBcDaIIwA4AsAGAtHFBmJG0DkAREAXQF8g","Global Parts","T1300_2","HM2102NLT","BottomLayer","HM2102NL","26.6535mm","33.0098mm","90","Pulse HM2102NLT BMS Transformer","","HM2102NLT","Mouser","Digikey","","673-HM2102NLT","1840-1034-1-ND",""
"https://www.digikey.co.th/en/products/detail/pulse-electronics-network/HM2102NLT/8021473?s=N4IgTCBcDaIIwA4AsAGAtHFBmJG0DkAREAXQF8g","Global Parts","T1300_4","HM2102NLT","BottomLayer","HM2102NL","59.8323mm","33.0098mm","90","Pulse HM2102NLT BMS Transformer","","HM2102NLT","Mouser","Digikey","","673-HM2102NLT","1840-1034-1-ND",""
"https://www.digikey.co.th/en/products/detail/pulse-electronics-network/HM2102NLT/8021473?s=N4IgTCBcDaIIwA4AsAGAtHFBmJG0DkAREAXQF8g","Global Parts","T1300_3","HM2102NLT","BottomLayer","HM2102NL","43.3223mm","33.0098mm","90","Pulse HM2102NLT BMS Transformer","","HM2102NLT","Mouser","Digikey","","673-HM2102NLT","1840-1034-1-ND",""
"https://www.digikey.co.th/en/products/detail/pulse-electronics-network/HM2102NLT/8021473?s=N4IgTCBcDaIIwA4AsAGAtHFBmJG0DkAREAXQF8g","Global Parts","T1300_1","HM2102NLT","BottomLayer","HM2102NL","10.1435mm","33.0098mm","90","Pulse HM2102NLT BMS Transformer","","HM2102NLT","Mouser","Digikey","","673-HM2102NLT","1840-1034-1-ND",""
"https://detail.1688.com/offer/627729585988.html","C514444","U200_2","LTC6820HMS","BottomLayer","LTC6820-MSOP","30.3213mm","56.5150mm","270","isoSPI Isolated Communications Interface","LTC6820HMS","LTC6820HMS","Mouser","Digikey","","584-LTC6820HMS#PBF","LTC6820HMS#TRPBFCT-ND",""
"https://detail.1688.com/offer/627729585988.html","C514444","U200_1","LTC6820HMS","BottomLayer","LTC6820-MSOP","13.8113mm","56.5150mm","270","isoSPI Isolated Communications Interface","LTC6820HMS","LTC6820HMS","Mouser","Digikey","","584-LTC6820HMS#PBF","LTC6820HMS#TRPBFCT-ND",""
